"ticker","firm","netIncome2015","asset2015","asset2014","stock2015","stock2014","ROAA","ROAE"
"ATVI","Activision Blizzard, Inc.",8.92e+08,1.5251e+10,1.4642e+10,8.068e+09,7.233e+09,5.97,11.66
"AYI","Acuity Brands, Inc.",222100000,2429600000,2166400000,1.36e+09,1163500000,9.66,17.6
"ADBE","Adobe Systems Inc.",629551000,11726472000,10785829000,7001580000,6775905000,5.59,9.14
"AKAM","Akamai Technologies, Inc.",321406000,4187925000,4001546000,3120878000,2945335000,7.85,10.6
"GOOG","Google, Inc.",1.6348e+10,1.47461e+11,1.29187e+11,1.20331e+11,1.0386e+11,11.82,14.58
"APH","Amphenol Corporation",763500000,7458400000,6985900000,3238500000,2907400000,10.57,24.85
"ADI","Analog Devices, Inc.",696878000,7062178000,6859690000,5072959000,4757897000,10.01,14.18
"AAPL","Apple Inc.",5.3394e+10,2.90479e+11,2.31839e+11,1.19355e+11,1.11547e+11,20.45,46.25
"AMAT","Applied Materials, Inc.",1.377e+09,1.5308e+10,1.3174e+10,7.613e+09,7.868e+09,9.67,17.79
"ADSK","Autodesk, Inc.",81800000,4909700000,4.595e+09,2219200000,2261500000,1.72,3.65
"CA","CA, Inc.",8.46e+08,1.0973e+10,1.2016e+10,5.625e+09,5.57e+09,7.36,15.11
"CSRA","CSRA Inc.",265835000,2161282000,NA,1067087000,NA,NA,NA
"CERN","Cerner Corporation",525433000,4530565000,NA,3565968000,NA,NA,NA
"CSCO","Cisco Systems, Inc.",8.981e+09,1.13373e+11,1.0507e+11,5.9698e+10,5.6654e+10,8.22,15.44
"CTXS","Citrix Systems, Inc.",319361000,5481438000,5512007000,1973446000,2173645000,5.81,15.4
"CTSH","Cognizant Technology Solutions Corporation",1623600000,13065400000,1.1479e+10,9278100000,7740200000,13.23,19.08
"GLW","Corning, Inc.",1.339e+09,2.8547e+10,3.0063e+10,1.8788e+10,2.1579e+10,4.57,6.63
"EA","Electronic Arts Inc.",8.75e+08,6.147e+09,5.716e+09,3.036e+09,2.422e+09,14.75,32.06
"FFIV","F5 Networks, Inc.",365014000,2312290000,2184950000,1316728000,1369310000,16.23,27.18
"FLIR","FLIR Systems, Inc.",241686000,2406400000,2349311000,1649515000,1609773000,10.16,14.83
"FB","Facebook, Inc.",3.669e+09,4.9407e+10,3.9966e+10,4.4218e+10,3.6096e+10,8.21,9.14
"FSLR","First Solar, Inc.",546421000,7316331000,6720991000,5548487000,4991487000,7.79,10.37
"FTV","Fortive Corp",NA,NA,NA,NA,NA,NA,NA
"HPQ","HP Inc.",4.554e+09,1.06882e+11,1.03206e+11,2.7768e+10,2.6731e+10,4.34,16.71
"HAR","Harman International Industries Inc.",342680000,5865900000,4125590000,2374613000,1792578000,6.86,16.45
"HRS","Harris Corporation",3.34e+08,1.3127e+10,4.919e+09,3.397e+09,1.826e+09,3.7,12.79
"HPE","Hewlett-Packard Company",2.461e+09,8.127e+10,6.5071e+10,3.3535e+10,3.6776e+10,3.36,7
"IBM","IBM Corp",1.319e+10,1.10495e+11,1.17271e+11,1.4262e+10,1.1868e+10,11.58,100.96
"INTC","Intel Corporation",1.142e+10,1.03065e+11,9.19e+10,6.1085e+10,5.5865e+10,11.71,19.53
"INTU","Intuit Inc.",3.65e+08,4.968e+09,5.201e+09,2.332e+09,3.078e+09,7.18,13.49
"JNPR","Juniper Networks, Inc.",633700000,8619200000,8281400000,4574400000,4919100000,7.5,13.35
"KLAC","KLA-Tencor Corporation",366158000,4826012000,5535846000,421439000,3669346000,7.07,17.9
"LRCX","Lam Research Corporation",655577000,9364648000,7993306000,5103144000,5029735000,7.55,12.94
"LLTC","Linear Technology Corporation",520963000,1884079000,1655578000,1577927000,1331369000,29.44,35.81
"MCHP","Microchip Technology Incorporated",369009000,4780713000,4067630000,2044654000,2135461000,8.34,17.66
"MU","Micron Technology, Inc.",2.899e+09,2.4143e+10,2.2416e+10,1.2302e+10,1.076e+10,12.45,25.14
"MSFT","Microsoft Corporation",1.2193e+10,1.74472e+11,1.72384e+11,8.0083e+10,8.9784e+10,7.03,14.36
"MSI","Motorola Solutions, Inc.",6.1e+08,8.387e+09,1.0423e+10,-1.06e+08,2.735e+09,6.49,46.41
"NVDA","NVIDIA Corporation",6.31e+08,7.201e+09,7250894000,4.418e+09,4456398000,8.73,14.22
"NTAP","NetApp Inc.",5.6e+08,9.401e+09,9213800000,3.414e+09,3786500000,6.02,15.55
"ORCL","Oracle Corporation",9.938e+09,1.10903e+11,9.0266e+10,4.8663e+10,4.6878e+10,9.88,20.8
"QRVO","Qorvo Inc.",196303000,6892379000,920312000,6173160000,676351000,5.03,5.73
"QCOM","Qualcomm, Inc.",5.271e+09,5.0796e+10,4.8574e+10,3.1421e+10,3.9169e+10,10.61,14.93
"RHT","Red Hat, Inc.",180201000,3784569000,3106619000,1288338000,1551165000,5.23,12.69
"CRM","Salesforce.com",-262688000,10665127000,9152930000,3975183000,3038510000,-2.65,-7.49
"SWKS","Skyworks Solutions, Inc.",798300000,3719400000,2973800000,3159200000,2532400000,23.85,28.05
"SYMC","Symantec Corporation",8.78e+08,1.3233e+10,1.3539e+10,5.935e+09,5.797e+09,6.56,14.97
"TDC","Teradata Corporation",-2.14e+08,2.53e+09,3.132e+09,8.49e+08,1.707e+09,-7.56,-16.74
"TXN","Texas Instruments, Inc.",2.986e+09,1.623e+10,1.7372e+10,9.946e+09,1.039e+10,17.77,29.37
"TRIP","TripAdvisor Inc.",1.98e+08,2.128e+09,1.948e+09,1.412e+09,1.125e+09,9.72,15.61
"VRSN","VeriSign, Inc.",375236000,2357737000,1901150000,-1070447000,-883466000,17.62,-38.41
"WDC","Western Digital Corporation",1.465e+09,1.517e+10,1.5499e+10,9.219e+09,8.842e+09,9.55,16.22
"XRX","Xerox Corporation",4.74e+08,2.4817e+10,2.7658e+10,9.074e+09,1.0678e+10,1.81,4.8
"XLNX","Xilinx, Inc.",648216000,4898065000,5037349000,2611594000,2752682000,13.05,24.17
"YHOO","Yahoo! Inc.",-4359082000,45203966000,61707336000,29043537000,38741837000,-8.15,-12.86
